Key,Value,,,,,,,,,,,,,,,,,,,,,,,,
AC,Alternating Current,,,,,,,,,,,,,,,,,,,,,,,,
ACARS,Automatic Communications Addressing & Reporting System,,,,,,,,,,,,,,,,,,,,,,,,
ACFT,Aircraft,,,,,,,,,,,,,,,,,,,,,,,,
ACR,Air Carrier,,,,,,,,,,,,,,,,,,,,,,,,
ADC,Air Data Computer,,,,,,,,,,,,,,,,,,,,,,,,
ADF,Automatic Direction Finder,,,,,,,,,,,,,,,,,,,,,,,,
ADG,Air Driven Generator,,,,,,,,,,,,,,,,,,,,,,,,
ADI,Attitude Direction Indicator,,,,,,,,,,,,,,,,,,,,,,,,
ADIZ,Air Defense Identification Zone,,,,,,,,,,,,,,,,,,,,,,,,
AERO,Aeronautical,,,,,,,,,,,,,,,,,,,,,,,,
AFB,Air Force Base,,,,,,,,,,,,,,,,,,,,,,,,
AFD,Airport/Facility Directory,,,,,,,,,,,,,,,,,,,,,,,,
AFDS,Autopilot and Flight Director System,,,,,,,,,,,,,,,,,,,,,,,,
AFSS,Automated Flight Service Station,,,,,,,,,,,,,,,,,,,,,,,,
AGL,Above Ground Level,,,,,,,,,,,,,,,,,,,,,,,,
AIM,Aeronautical Information Manual,,,,,,,,,,,,,,,,,,,,,,,,
ALS,Automatic Landing System,,,,,,,,,,,,,,,,,,,,,,,,
ALSF-1,Standard 2400' Hi-Intensity Approach Lighting System With Sequenced Flashers (Cat I Config),,,,,,,,,,,,,,,,,,,,,,,,
ALSF-2,Standard 2400' Hi-Intensity Approach Lighting System With Sequenced Flashers (Cat Ii Config),,,,,,,,,,,,,,,,,,,,,,,,
ALT(S),Altitude,,,,,,,,,,,,,,,,,,,,,,,,
ALTDEV,Altitude Deviation,,,,,,,,,,,,,,,,,,,,,,,,
AM,Ante Meridiem,,,,,,,,,,,,,,,,,,,,,,,,
AMB,Ambiguity,,,,,,,,,,,,,,,,,,,,,,,,
AME,Aviation Medical Examiner,,,,,,,,,,,,,,,,,,,,,,,,
ANG,Air National Guard,,,,,,,,,,,,,,,,,,,,,,,,
"APCH (S, ED, ING)",Approach,,,,,,,,,,,,,,,,,,,,,,,,
APCH CTL,Approach Control,,,,,,,,,,,,,,,,,,,,,,,,
APPROX,Approximately,,,,,,,,,,,,,,,,,,,,,,,,
APU,Auxiliary Power Unit,,,,,,,,,,,,,,,,,,,,,,,,
ARPT(S),Airport,,,,,,,,,,,,,,,,,,,,,,,,
ARR,"Arrival, Arrive",,,,,,,,,,,,,,,,,,,,,,,,
ARSR,Air Route Surveillance Radar,,,,,,,,,,,,,,,,,,,,,,,,
ARTCC,Air Route Traffic Control Center,,,,,,,,,,,,,,,,,,,,,,,,
ARTS,Automated Radar Terminal Systems,,,,,,,,,,,,,,,,,,,,,,,,
ASAP,As Soon As Possible,,,,,,,,,,,,,,,,,,,,,,,,
ASOS/AWOS,Automated Surface Observation Sys (Or Weather Observation Sys),,,,,,,,,,,,,,,,,,,,,,,,
ASR,Airport Surveillance Radar,,,,,,,,,,,,,,,,,,,,,,,,
ATA,Actual Time Of Arrival,,,,,,,,,,,,,,,,,,,,,,,,
ATA,Air Traffic Area,,,,,,,,,,,,,,,,,,,,,,,,
ATC,Air Traffic Control,,,,,,,,,,,,,,,,,,,,,,,,
ATCT,Airport Traffic Control Tower,,,,,,,,,,,,,,,,,,,,,,,,
ATD,Actual Time Of Departure,,,,,,,,,,,,,,,,,,,,,,,,
ATIS,Automatic Terminal Information Service,,,,,,,,,,,,,,,,,,,,,,,,
ATOG,Allowable Takeoff Gross Weight,,,,,,,,,,,,,,,,,,,,,,,,
